"STATION","DATE","PRCP"
"USC00153025","2025-01-01","0.08"
"USC00153025","2025-01-02","0.01"
"USC00153025","2025-01-03","0.00"
"USC00153025","2025-01-04","0.00"
"USC00153025","2025-01-05","0.00"
"USC00153025","2025-01-06","1.43"
"USC00153025","2025-01-07","0.09"
"USC00153025","2025-01-08","0.02"
"USC00153025","2025-01-09","0.00"
"USC00153025","2025-01-10","0.00"
"USC00153025","2025-01-11","0.18"
"USC00153025","2025-01-12","0.00"
"USC00153025","2025-01-13","0.00"
"USC00153025","2025-01-14","0.00"
"USC00153025","2025-01-15","0.00"
"USC00153025","2025-01-16","0.00"
"USC00153025","2025-01-17","0.00"
"USC00153025","2025-01-18","0.19"
"USC00153025","2025-01-19","0.07"
"USC00153025","2025-01-20","0.11"
"USC00153025","2025-01-21","0.00"
"USC00153025","2025-01-22","0.00"
"USC00153025","2025-01-23","0.00"
"USC00153025","2025-01-24","0.00"
"USC00153025","2025-01-25","0.00"
"USC00153025","2025-01-26","0.00"
"USC00153025","2025-01-27","0.00"
"USC00153025","2025-01-28","0.00"
"USC00153025","2025-01-29","0.00"
"USC00153025","2025-01-30","0.00"
"USC00153025","2025-01-31","1.49"
"USC00153025","2025-02-01","0.03"
"USC00153025","2025-02-02","0.00"
"USC00153025","2025-02-03","0.00"
"USC00153025","2025-02-04","0.00"
"USC00153025","2025-02-05","0.00"
"USC00153025","2025-02-06","2.11"
"USC00153025","2025-02-07","0.05"
"USC00153025","2025-02-08","0.36"
"USC00153025","2025-02-09","0.28"
"USC00153025","2025-02-10","0.00"
"USC00153025","2025-02-11","0.08"
"USC00153025","2025-02-12","0.41"
"USC00153025","2025-02-13","0.34"
"USC00153025","2025-02-14","0.00"
"USC00153025","2025-02-15","0.11"
"USC00153025","2025-02-16","3.85"
"USC00153025","2025-02-17","0.26"
"USC00153025","2025-02-18","0.03"
"USC00153025","2025-02-19","0.13"
"USC00153025","2025-02-20","0.04"
"USC00153025","2025-02-21","0.00"
"USC00153025","2025-02-22","0.00"
"USC00153025","2025-02-23","0.00"
"USC00153025","2025-02-24","0.00"
"USC00153025","2025-02-25","0.02"
"USC00153025","2025-02-26","0.00"
"USC00153025","2025-02-27","0.04"
"USC00153025","2025-02-28","0.03"
"USC00153025","2025-03-01",
"USC00153025","2025-03-02",
"USC00153025","2025-03-03",
"USC00153025","2025-03-04","0.00"
"USC00153025","2025-03-06","0.09"
"USC00153025","2025-03-07",
"USC00153025","2025-03-08",
"USC00153025","2025-03-09",
"USC00153025","2025-03-10",
"USC00153025","2025-03-11",
"USC00153025","2025-03-12",
"USC00153025","2025-03-13",
"USC00153025","2025-03-14","0.00"
"USC00153025","2025-03-15","0.00"
"USC00153025","2025-03-16","3.39"
"USC00153025","2025-03-17","0.50"
"USC00153025","2025-03-18","0.00"
"USC00153025","2025-03-19","0.00"
"USC00153025","2025-03-20","0.24"
"USC00153025","2025-03-21","0.05"
"USC00153025","2025-03-22","0.00"
"USC00153025","2025-03-23","0.00"
"USC00153025","2025-03-24","0.51"
"USC00153025","2025-03-25","0.04"
"USC00153025","2025-03-26","0.00"
"USC00153025","2025-03-27","0.00"
"USC00153025","2025-03-28","0.01"
"USC00153025","2025-03-29","0.00"
"USC00153025","2025-03-30","0.18"
"USC00153025","2025-03-31","1.03"
"USC00153025","2025-04-01","0.01"
"USC00153025","2025-04-02","0.00"
"USC00153025","2025-04-03","1.88"
"USC00153025","2025-04-04","3.46"
"USC00153025","2025-04-05","0.95"
"USC00153025","2025-04-06","1.96"
