STABR,POPU_ST,CENTLIB,BRANLIB,Total,Country
AL,4887871,224,72,296,USA
AR,2988248,59,168,227,USA
AZ,7294587,84,138,222,USA
CA,39782870,199,973,1172,USA
CO,5746810,95,168,263,USA
CT,3565287,191,45,236,USA
DC,689545,1,26,27,USA
DE,973757,19,14,33,USA
FL,21596068,56,480,536,USA
GA,10833472,60,332,392,USA
HI,1415872,1,50,51,USA
IA,3155070,543,24,567,USA
ID,1787065,100,49,149,USA
IL,12671821,623,152,775,USA
IN,6483802,235,192,427,USA
KS,2913314,324,47,371,USA
KY,4475071,120,84,204,USA
LA,4645318,67,269,336,USA
MA,6901795,369,92,461,USA
MD,6052177,14,175,189,USA
ME,1350141,255,4,259,USA
MI,9986857,393,254,647,USA
MN,5680337,127,228,355,USA
MO,6126452,139,227,366,USA
MS,2976149,53,176,229,USA
MT,988533,82,34,116,USA
NC,10487088,71,318,389,USA
ND,760077,79,8,87,USA
NE,1934408,244,20,264,USA
NH,1377529,224,6,230,USA
NJ,8791894,296,144,440,USA
NM,2059179,98,28,126,USA
NV,3112937,20,64,84,USA
NY,19378102,755,314,1069,USA
OH,11502271,239,483,722,USA
OK,3956971,119,96,215,USA
OR,4236400,138,83,221,USA
PA,12702379,443,175,618,USA
RI,1052566,47,24,71,USA
SC,4652360,42,163,205,USA
SD,886677,108,30,138,USA
TN,6829174,185,99,284,USA
TX,28995881,553,327,880,USA
UT,3205958,62,63,125,USA
VA,8586967,82,283,365,USA
VT,624313,183,3,186,USA
WA,7656200,52,301,353,USA
WI,5854594,378,81,459,USA
WV,1852994,96,74,170,USA
WY,578759,23,51,74,USA
