Field of study,year,Degrees,Ranking
Agriculture,2000,23766,14
Physical and Biological Sciences,2000,78601,4
Business,2000,263515,1
Communication and Journalism,2000,58013,9
Computer and Information Sciences,2000,44142,11
Education,2000,105458,3
Engineering,2000,58209,8
English Language and Literature,2000,50569,10
Health Professions,2000,75537,5
"Homeland security, law enforcement, and firefighting",2000,25211,13
Liberal Arts and Sciences,2000,37962,12
Mathematics and statistics,2000,11171,16
Psychology,2000,73645,6
Public administration and social services,2000,19447,15
Social sciences and history,2000,128036,2
Visual and performing arts,2000,61148,7
Agriculture,2022,40675,12
Physical and Biological Sciences,2022,159763,3
Business,2022,375418,1
Communication and Journalism,2022,86043,10
Computer and Information Sciences,2022,108503,7
Education,2022,89410,9
Engineering,2022,123017,6
English Language and Literature,2022,33429,14
Health Professions,2022,263765,2
"Homeland security, law enforcement, and firefighting",2022,56901,11
Liberal Arts and Sciences,2022,37887,13
Mathematics and statistics,2022,26212,16
Psychology,2022,129609,5
Public administration and social services,2022,33429,15
Social sciences and history,2022,151109,4
Visual and performing arts,2022,90241,8
